"Reporting Starts","Reporting Ends","Ad Set Name",Delivery,Results,"Result Type",Reach,"Cost per Result (USD)",Budget,"Budget Type","Amount Spent (USD)",Ends,Starts
2015-09-01,2015-09-21,,,562,actions:link_click,4195,0.39953736654804,0,,224.54,,
2015-09-01,2015-09-21,18-26,active,562,actions:link_click,4195,0.39953736654804,825,Lifetime,224.54,2015-10-07,2015-08-12
