Time since reset, Log Time, Air Temp, Inlet Depth, Throat Depth, Submergence, Flow Rate, Accumulated Flow
24852, 5/7/2015 15:37:24,67.55,29.28,29.55,0.00,0.00,0.00
626051, 5/7/2015 15:47:26,63.61,28.15,27.86,0.99,1.06,0.01
